Epoch 21; car iou: 0.9540435; bicycle iou: 0.49061304; motorcycle iou: 0.7328224; truck iou: 0.80994827; other-vehicle iou: 0.5114534; person iou: 0.7050608; bicyclist iou: 0.91084856; motorcyclist iou: 0.02709146; road iou: 0.9391852; parking iou: 0.50444114; sidewalk iou: 0.80932933; other-ground iou: 0.01812729; building iou: 0.89877; fence iou: 0.58521736; vegetation iou: 0.8784361; trunk iou: 0.62001234; terrain iou: 0.75489587; pole iou: 0.6528025; traffic-sign iou: 0.49441928; mean iou: 0.64723784
Epoch 22; car iou: 0.9635624; bicycle iou: 0.49616888; motorcycle iou: 0.76287305; truck iou: 0.8565717; other-vehicle iou: 0.62945867; person iou: 0.68345356; bicyclist iou: 0.8822971; motorcyclist iou: 0.047721446; road iou: 0.944549; parking iou: 0.47315815; sidewalk iou: 0.81540906; other-ground iou: 0.0037717202; building iou: 0.90312684; fence iou: 0.5272912; vegetation iou: 0.8838798; trunk iou: 0.65431213; terrain iou: 0.7768056; pole iou: 0.67095774; traffic-sign iou: 0.4645757; mean iou: 0.6547339
Epoch 23; car iou: 0.9502964; bicycle iou: 0.511491; motorcycle iou: 0.6903926; truck iou: 0.9359072; other-vehicle iou: 0.44484928; person iou: 0.69959193; bicyclist iou: 0.8868888; motorcyclist iou: 0.012351882; road iou: 0.94002986; parking iou: 0.44368744; sidewalk iou: 0.8117237; other-ground iou: 0.0009079154; building iou: 0.8984944; fence iou: 0.571829; vegetation iou: 0.88895416; trunk iou: 0.667897; terrain iou: 0.7712717; pole iou: 0.66050905; traffic-sign iou: 0.5105433; mean iou: 0.647243
Epoch 24; car iou: 0.9618194; bicycle iou: 0.51851064; motorcycle iou: 0.7518264; truck iou: 0.8430978; other-vehicle iou: 0.6214393; person iou: 0.73432857; bicyclist iou: 0.9150373; motorcyclist iou: 0.09525806; road iou: 0.9473349; parking iou: 0.5041709; sidewalk iou: 0.8212951; other-ground iou: 0.005868355; building iou: 0.9057389; fence iou: 0.5979104; vegetation iou: 0.87993765; trunk iou: 0.66590965; terrain iou: 0.7514595; pole iou: 0.64374226; traffic-sign iou: 0.5056386; mean iou: 0.66685915
Epoch 25; car iou: 0.95470387; bicycle iou: 0.5222367; motorcycle iou: 0.742252; truck iou: 0.88295674; other-vehicle iou: 0.4644914; person iou: 0.7262694; bicyclist iou: 0.92469776; motorcyclist iou: 0.022202874; road iou: 0.95066166; parking iou: 0.51963437; sidewalk iou: 0.82196295; other-ground iou: 0.0016780628; building iou: 0.9114977; fence iou: 0.6481413; vegetation iou: 0.87733024; trunk iou: 0.6416102; terrain iou: 0.74614286; pole iou: 0.6491849; traffic-sign iou: 0.5152223; mean iou: 0.65909886
Epoch 26; car iou: 0.9484809; bicycle iou: 0.5329952; motorcycle iou: 0.7567756; truck iou: 0.9318364; other-vehicle iou: 0.39179093; person iou: 0.7354249; bicyclist iou: 0.92387944; motorcyclist iou: 0.14456443; road iou: 0.9452475; parking iou: 0.5008626; sidewalk iou: 0.8134705; other-ground iou: 0.004962784; building iou: 0.90781784; fence iou: 0.64799094; vegetation iou: 0.8792878; trunk iou: 0.6359486; terrain iou: 0.7473935; pole iou: 0.6073977; traffic-sign iou: 0.503844; mean iou: 0.66105115
Epoch 27; car iou: 0.96316975; bicycle iou: 0.5512052; motorcycle iou: 0.76788193; truck iou: 0.834079; other-vehicle iou: 0.6526383; person iou: 0.68392277; bicyclist iou: 0.90161866; motorcyclist iou: 0.19528888; road iou: 0.9380213; parking iou: 0.38111266; sidewalk iou: 0.8081358; other-ground iou: 0.00069285894; building iou: 0.89055586; fence iou: 0.5330957; vegetation iou: 0.8559403; trunk iou: 0.63085765; terrain iou: 0.6939165; pole iou: 0.64227355; traffic-sign iou: 0.4880101; mean iou: 0.65328515
Epoch 28; car iou: 0.9591391; bicycle iou: 0.47063294; motorcycle iou: 0.70885074; truck iou: 0.94827074; other-vehicle iou: 0.5412893; person iou: 0.7223373; bicyclist iou: 0.92021453; motorcyclist iou: 0.04548795; road iou: 0.94002235; parking iou: 0.5503589; sidewalk iou: 0.8156046; other-ground iou: 0.005368115; building iou: 0.9073888; fence iou: 0.61981064; vegetation iou: 0.87573284; trunk iou: 0.6382966; terrain iou: 0.739293; pole iou: 0.64282304; traffic-sign iou: 0.49172303; mean iou: 0.6601392
Epoch 29; car iou: 0.965618; bicycle iou: 0.4886859; motorcycle iou: 0.74586207; truck iou: 0.8998068; other-vehicle iou: 0.62991774; person iou: 0.7132533; bicyclist iou: 0.9120712; motorcyclist iou: 0.027350502; road iou: 0.93363327; parking iou: 0.48481873; sidewalk iou: 0.8112434; other-ground iou: 0.010120409; building iou: 0.8984398; fence iou: 0.59333605; vegetation iou: 0.88270366; trunk iou: 0.6505161; terrain iou: 0.76459354; pole iou: 0.63944995; traffic-sign iou: 0.4818159; mean iou: 0.659644
Epoch 30; car iou: 0.9622246; bicycle iou: 0.52429247; motorcycle iou: 0.6926714; truck iou: 0.7577988; other-vehicle iou: 0.56381595; person iou: 0.70255667; bicyclist iou: 0.9289693; motorcyclist iou: 0.0004332568; road iou: 0.9380689; parking iou: 0.3827499; sidewalk iou: 0.8025373; other-ground iou: 0.0013925196; building iou: 0.91042113; fence iou: 0.6026446; vegetation iou: 0.88512135; trunk iou: 0.6335; terrain iou: 0.76871866; pole iou: 0.6402167; traffic-sign iou: 0.49376547; mean iou: 0.641679
Epoch 31; car iou: 0.96714276; bicycle iou: 0.5175409; motorcycle iou: 0.72908777; truck iou: 0.9249439; other-vehicle iou: 0.6677055; person iou: 0.7415213; bicyclist iou: 0.9348131; motorcyclist iou: 0.17465445; road iou: 0.93706256; parking iou: 0.5030959; sidewalk iou: 0.8137617; other-ground iou: 0.0005895006; building iou: 0.88774174; fence iou: 0.57306296; vegetation iou: 0.8880983; trunk iou: 0.5730577; terrain iou: 0.7602224; pole iou: 0.5622724; traffic-sign iou: 0.50501317; mean iou: 0.6663888
Epoch 32; car iou: 0.9633434; bicycle iou: 0.45482868; motorcycle iou: 0.72934085; truck iou: 0.87094253; other-vehicle iou: 0.58016443; person iou: 0.72302747; bicyclist iou: 0.9294241; motorcyclist iou: 0.009261598; road iou: 0.9405856; parking iou: 0.47799566; sidewalk iou: 0.81642896; other-ground iou: 0.0154243605; building iou: 0.91443133; fence iou: 0.5963469; vegetation iou: 0.88666487; trunk iou: 0.68256813; terrain iou: 0.772348; pole iou: 0.6527158; traffic-sign iou: 0.4899214; mean iou: 0.6581982
Epoch 33; car iou: 0.9471488; bicycle iou: 0.49300334; motorcycle iou: 0.7169309; truck iou: 0.28555468; other-vehicle iou: 0.37431458; person iou: 0.70625806; bicyclist iou: 0.91720325; motorcyclist iou: 0.0713775; road iou: 0.9476832; parking iou: 0.437393; sidewalk iou: 0.8185457; other-ground iou: 0.0015383068; building iou: 0.8908514; fence iou: 0.52747655; vegetation iou: 0.8893744; trunk iou: 0.6435241; terrain iou: 0.7756231; pole iou: 0.6459607; traffic-sign iou: 0.4764905; mean iou: 0.6087501
Epoch 34; car iou: 0.9639883; bicycle iou: 0.49483186; motorcycle iou: 0.76548636; truck iou: 0.8880435; other-vehicle iou: 0.67182136; person iou: 0.7218644; bicyclist iou: 0.9254079; motorcyclist iou: 0.050570436; road iou: 0.9499348; parking iou: 0.50263315; sidewalk iou: 0.82364625; other-ground iou: 0.00028115837; building iou: 0.89703876; fence iou: 0.5741819; vegetation iou: 0.88799846; trunk iou: 0.63202006; terrain iou: 0.7699479; pole iou: 0.62536556; traffic-sign iou: 0.48894918; mean iou: 0.6649479
Epoch 35; car iou: 0.95946366; bicycle iou: 0.47306722; motorcycle iou: 0.7331115; truck iou: 0.91039336; other-vehicle iou: 0.5656033; person iou: 0.7307371; bicyclist iou: 0.93846995; motorcyclist iou: 0.065709256; road iou: 0.94917387; parking iou: 0.5054364; sidewalk iou: 0.8267023; other-ground iou: 0.0079307165; building iou: 0.9093068; fence iou: 0.6129724; vegetation iou: 0.8843668; trunk iou: 0.63946676; terrain iou: 0.7679171; pole iou: 0.64248747; traffic-sign iou: 0.48897108; mean iou: 0.66375196
Epoch 36; car iou: 0.9613998; bicycle iou: 0.54291904; motorcycle iou: 0.7613113; truck iou: 0.9195378; other-vehicle iou: 0.58537984; person iou: 0.7086151; bicyclist iou: 0.94203603; motorcyclist iou: 0.001685102; road iou: 0.9478135; parking iou: 0.47560787; sidewalk iou: 0.8240033; other-ground iou: 0.0004776552; building iou: 0.9114423; fence iou: 0.6176635; vegetation iou: 0.8848164; trunk iou: 0.67590535; terrain iou: 0.75997525; pole iou: 0.648031; traffic-sign iou: 0.48976082; mean iou: 0.6662306
Epoch 37; car iou: 0.95817864; bicycle iou: 0.4850402; motorcycle iou: 0.76494664; truck iou: 0.78879327; other-vehicle iou: 0.5445988; person iou: 0.64227885; bicyclist iou: 0.91968316; motorcyclist iou: 0.02166545; road iou: 0.94607586; parking iou: 0.48083693; sidewalk iou: 0.8191956; other-ground iou: 0.0059369807; building iou: 0.9038063; fence iou: 0.6017937; vegetation iou: 0.88033026; trunk iou: 0.6749275; terrain iou: 0.7530496; pole iou: 0.6396648; traffic-sign iou: 0.46751472; mean iou: 0.64727986
Epoch 38; car iou: 0.96356297; bicycle iou: 0.5274772; motorcycle iou: 0.7624197; truck iou: 0.8925807; other-vehicle iou: 0.592102; person iou: 0.7097378; bicyclist iou: 0.9356017; motorcyclist iou: 0.006368875; road iou: 0.9468738; parking iou: 0.4516574; sidewalk iou: 0.8235406; other-ground iou: 0.0013334574; building iou: 0.906137; fence iou: 0.59612656; vegetation iou: 0.889554; trunk iou: 0.6259649; terrain iou: 0.77121186; pole iou: 0.5955187; traffic-sign iou: 0.5028876; mean iou: 0.6579293
Epoch 39; car iou: 0.95635873; bicycle iou: 0.5020036; motorcycle iou: 0.7706226; truck iou: 0.92996657; other-vehicle iou: 0.5078877; person iou: 0.7347383; bicyclist iou: 0.9395913; motorcyclist iou: 0.069793716; road iou: 0.9447153; parking iou: 0.48519945; sidewalk iou: 0.8243086; other-ground iou: 0.00038589363; building iou: 0.9038988; fence iou: 0.59663343; vegetation iou: 0.87591124; trunk iou: 0.6594663; terrain iou: 0.7517366; pole iou: 0.62781537; traffic-sign iou: 0.48212108; mean iou: 0.6612187
Epoch 40; car iou: 0.9611912; bicycle iou: 0.4772117; motorcycle iou: 0.7559416; truck iou: 0.9061235; other-vehicle iou: 0.56443053; person iou: 0.70125943; bicyclist iou: 0.930078; motorcyclist iou: 0.011573483; road iou: 0.945707; parking iou: 0.4450248; sidewalk iou: 0.8194036; other-ground iou: 0.00044537682; building iou: 0.9067552; fence iou: 0.60645664; vegetation iou: 0.88295525; trunk iou: 0.666804; terrain iou: 0.75973254; pole iou: 0.6374026; traffic-sign iou: 0.48157135; mean iou: 0.655793
Epoch 41; car iou: 0.96975374; bicycle iou: 0.533417; motorcycle iou: 0.76404715; truck iou: 0.87922484; other-vehicle iou: 0.6789766; person iou: 0.7412442; bicyclist iou: 0.9406224; motorcyclist iou: 0.09426335; road iou: 0.93074644; parking iou: 0.4888356; sidewalk iou: 0.8062072; other-ground iou: 0.0021109676; building iou: 0.90605265; fence iou: 0.6260616; vegetation iou: 0.88871986; trunk iou: 0.638292; terrain iou: 0.76719445; pole iou: 0.6370011; traffic-sign iou: 0.49472; mean iou: 0.6730259
Epoch 42; car iou: 0.95372; bicycle iou: 0.47678703; motorcycle iou: 0.75812083; truck iou: 0.91624355; other-vehicle iou: 0.46404463; person iou: 0.66509223; bicyclist iou: 0.93783903; motorcyclist iou: 0.03538607; road iou: 0.945372; parking iou: 0.44842494; sidewalk iou: 0.8245469; other-ground iou: 0.00010023095; building iou: 0.9085301; fence iou: 0.6106673; vegetation iou: 0.8916264; trunk iou: 0.6506355; terrain iou: 0.7817688; pole iou: 0.6460492; traffic-sign iou: 0.4694674; mean iou: 0.6518117
